"Category","Description","Nutrient Data Bank Number","Data.Alpha Carotene","Data.Beta Carotene","Data.Beta Cryptoxanthin","Data.Carbohydrate","Data.Cholesterol","Data.Choline","Data.Fiber","Data.Lutein and Zeaxanthin","Data.Lycopene","Data.Niacin","Data.Protein","Data.Retinol","Data.Riboflavin","Data.Selenium","Data.Sugar Total","Data.Thiamin","Data.Water","Data.Fat.Monosaturated Fat","Data.Fat.Polysaturated Fat","Data.Fat.Saturated Fat","Data.Fat.Total Lipid","Data.Major Minerals.Calcium","Data.Major Minerals.Copper","Data.Major Minerals.Iron","Data.Major Minerals.Magnesium","Data.Major Minerals.Phosphorus","Data.Major Minerals.Potassium","Data.Major Minerals.Sodium","Data.Major Minerals.Zinc","Data.Vitamins.Vitamin A - RAE","Data.Vitamins.Vitamin B12","Data.Vitamins.Vitamin B6","Data.Vitamins.Vitamin C","Data.Vitamins.Vitamin E","Data.Vitamins.Vitamin K"
"Milk","Milk, human","11000000","0","7","0","6.89","14","16.0","0.0","0","0","0.177","1.03","60","0.036","1.8","6.89","0.014","87.5","1.658","0.497","2.009","4.38","32","0.052","0.03","3","14","51","17","0.17","61","0.05","0.011","5.0","0.08","0.3"
"Milk","Milk, NFS","11100000","0","4","0","4.87","8","17.9","0.0","0","0","0.11","3.34","58","0.137","1.9","4.89","0.057","89.04","0.426","0.065","1.164","1.99","126","0.001","0.0","12","103","157","39","0.42","59","0.56","0.06","0.1","0.03","0.2"
"Milk","Milk, whole","11111000","0","7","0","4.67","12","17.8","0.0","0","0","0.105","3.28","31","0.138","1.9","4.81","0.056","88.1","0.688","0.108","1.86","3.2","123","0.001","0.0","12","101","150","38","0.41","32","0.54","0.061","0.0","0.05","0.3"
"Milk","Milk, low sodium, whole","11111100","0","7","0","4.46","14","16.0","0.0","0","0","0.043","3.1","28","0.105","2.0","4.46","0.02","88.2","0.999","0.128","2.154","3.46","101","0.01","0.05","5","86","253","3","0.38","29","0.36","0.034","0.9","0.08","0.3"
"Milk","Milk, calcium fortified, whole","11111150","0","7","0","4.67","12","17.8","0.0","0","0","0.105","3.28","31","0.138","1.9","4.81","0.056","88.1","0.688","0.108","1.86","3.2","123","0.001","0.0","12","101","150","38","0.41","32","0.54","0.061","0.0","0.05","0.3"
"Milk","Milk, calcium fortified, low fat (1%)","11111160","0","1","0","5.19","5","17.4","0.0","0","0","0.113","3.38","58","0.14","2.1","4.96","0.057","89.7","0.21","0.032","0.568","0.95","126","0.001","0.0","12","103","159","39","0.43","58","0.61","0.06","0.0","0.02","0.1"
"Milk","Milk, calcium fortified, fat free (skim)","11111170","0","0","0","4.85","2","16.0","0.0","0","0","0.088","3.4","137","0.14","2.1","4.85","0.036","90.8","0.047","0.007","0.117","0.18","204","0.011","0.04","11","101","166","52","0.4","137","0.38","0.04","1.0","0.01","0.0"
"Milk","Milk, reduced fat (2%)","11112110","0","3","0","4.91","8","18.2","0.0","0","0","0.112","3.35","83","0.137","1.8","4.89","0.059","89.1","0.4","0.058","1.11","1.9","126","0.001","0.0","12","103","159","39","0.43","83","0.55","0.061","0.2","0.03","0.2"
"Milk","Milk, acidophilus, low fat (1%)","11112120","0","1","0","5.19","5","17.4","0.0","0","0","0.113","3.38","58","0.14","2.1","4.96","0.057","89.7","0.21","0.032","0.568","0.95","126","0.001","0.0","12","103","159","39","0.43","58","0.61","0.06","0.0","0.02","0.1"
"Milk","Milk, acidophilus, reduced fat (2%)","11112130","0","3","0","4.91","8","18.2","0.0","0","0","0.112","3.35","83","0.137","1.8","4.89","0.059","89.1","0.4","0.058","1.11","1.9","126","0.001","0.0","12","103","159","39","0.43","83","0.55","0.061","0.2","0.03","0.2"
"Milk","Milk, low fat (1%)","11112210","0","1","0","5.19","5","17.4","0.0","0","0","0.113","3.38","58","0.14","2.1","4.96","0.057","89.7","0.21","0.032","0.568","0.95","126","0.001","0.0","12","103","159","39","0.43","58","0.61","0.06","0.0","0.02","0.1"
"Milk","Milk, fat free (skim)","11113000","0","2","0","4.89","3","18.2","0.0","0","0","0.118","3.43","64","0.131","2.0","5.05","0.056","90.8","0.017","0.006","0.049","0.08","132","0.002","0.0","12","107","167","41","0.45","64","0.58","0.058","0.0","0.0","0.0"
"Milk","Milk, lactose free, low fat (1%)","11114300","0","1","0","5.19","5","17.4","0.0","0","0","0.113","3.38","58","0.14","2.1","4.96","0.057","89.7","0.21","0.032","0.568","0.95","126","0.001","0.0","12","103","159","39","0.43","58","0.61","0.06","0.0","0.02","0.1"
"Milk","Milk, lactose free, fat free (skim)","11114320","0","2","0","4.89","3","18.2","0.0","0","0","0.118","3.43","64","0.131","2.0","5.05","0.056","90.8","0.017","0.006","0.049","0.08","132","0.002","0.0","12","107","167","41","0.45","64","0.58","0.058","0.0","0.0","0.0"
"Milk","Milk, lactose free, reduced fat (2%)","11114330","0","3","0","4.91","8","18.2","0.0","0","0","0.112","3.35","83","0.137","1.8","4.89","0.059","89.1","0.4","0.058","1.11","1.9","126","0.001","0.0","12","103","159","39","0.43","83","0.55","0.061","0.2","0.03","0.2"
"Milk","Milk, lactose free, whole","11114350","0","7","0","4.67","12","17.8","0.0","0","0","0.105","3.28","31","0.138","1.9","4.81","0.056","88.1","0.688","0.108","1.86","3.2","123","0.001","0.0","12","101","150","38","0.41","32","0.54","0.061","0.0","0.05","0.3"
"Buttermilk","Buttermilk, fat free (skim)","11115000","0","1","0","4.79","4","17.7","0.0","0","0","0.058","3.31","13","0.154","2.0","4.79","0.034","90.13","0.254","0.033","0.66","1.07","116","0.011","0.05","11","89","151","148","0.42","14","0.22","0.034","1.0","0.05","0.1"
"Buttermilk","Buttermilk, low fat (1%)","11115100","0","1","0","4.79","4","17.7","0.0","0","0","0.058","3.31","13","0.154","2.0","4.79","0.034","90.13","0.254","0.033","0.66","1.07","116","0.011","0.05","11","89","151","148","0.42","14","0.22","0.034","1.0","0.05","0.1"
